-1.28175, -0.457231
-1.28125, -0.454221
-1.28075, -0.451218
-1.28025, -0.448222
-1.27975, -0.445231
-1.27925, -0.442248
-1.27854, -0.438039
-1.27783, -0.433844
-1.27713, -0.429661
-1.27642, -0.425491
-1.27571, -0.421334
-1.27471, -0.415477
-1.27371, -0.409646
-1.27271, -0.40384
-1.27171, -0.39806
-1.27071, -0.392305
-1.2693, -0.38421
-1.26788, -0.376166
-1.26647, -0.368172
-1.26506, -0.360229
-1.26364, -0.352336
-1.26164, -0.34126
-1.25964, -0.330283
-1.25764, -0.319406
-1.25564, -0.308629
-1.25364, -0.29795
-1.25081, -0.283017
-1.24798, -0.268279
-1.24516, -0.253737
-1.24233, -0.239388
-1.2395, -0.225233
-1.2355, -0.205542
-1.2315, -0.186231
-1.2275, -0.167299
-1.2235, -0.148742
-1.2195, -0.130557
-1.21384, -0.105469
-1.20819, -0.0811103
-1.20253, -0.0574737
-1.19687, -0.0345504
-1.19122, -0.0123321
-1.18322, 0.0179021
-1.17522, 0.0467666
-1.16722, 0.0742851
-1.15922, 0.100481
-1.15122, 0.125378
-1.1399, 0.158416
-1.12859, 0.188971
-1.11727, 0.217108
-1.10596, 0.242894
-1.09465, 0.266397
-1.07865, 0.295866
-1.06265, 0.321089
-1.04665, 0.342255
-1.03065, 0.359553
-1.01465, 0.373172
-0.998647, 0.383299
-0.982647, 0.390125
-0.966647, 0.393837
-0.950647, 0.394624
-0.934647, 0.392675
-0.918647, 0.388178
-0.902647, 0.381323
-0.886647, 0.372298
-0.870647, 0.361291
-0.854647, 0.348491
-0.838647, 0.334088
-0.822647, 0.318268
-0.806647, 0.301222
-0.790647, 0.283138
-0.774647, 0.264205
-0.758647, 0.244611
-0.742647, 0.224544
-0.726647, 0.204195
-0.710647, 0.18375
-0.694647, 0.1634
-0.678647, 0.143332
-0.662647, 0.123736
-0.646647, 0.1048
-0.630647, 0.0867117
-0.614647, 0.0696613
-0.598647, 0.0538369
-0.582647, 0.0394271
-0.566647, 0.0266207
-0.550647, 0.0156064
-0.534647, 0.00657273
-0.518647, -0.000291534
-0.502647, -0.00479773
-0.486647, -0.0067572
-0.470647, -0.00598126
-0.454647, -0.00228124
-0.438647, 0.00450621
-0.436006, 0.00591432
-0.422647, 0.0141295
-0.406647, 0.025998
-0.390647, 0.0395114
-0.374647, 0.0540691
-0.358647, 0.0690708
-0.342647, 0.083916
-0.326647, 0.0980043
-0.310647, 0.110735
-0.294647, 0.121508
-0.293327, 0.122291
-0.278647, 0.129723
-0.262647, 0.134779
-0.246647, 0.136076
-0.230647, 0.133013
-0.214647, 0.125073
-0.198647, 0.11254
-0.182647, 0.0961454
-0.166647, 0.0766264
-0.150647, 0.0547203
-0.134647, 0.031164
-0.118647, 0.00669453
-0.102647, -0.0179509
-0.0866465, -0.0420354
-0.0706465, -0.0648217
-0.0546465, -0.0855729
-0.0386465, -0.103552
-0.0226465, -0.118022
-0.00664652, -0.128245
0.00935348, -0.133618
0.0253535, -0.134341
0.035443, -0.132636
0.0413535, -0.130923
0.0573535, -0.12387
0.0733535, -0.113688
0.0893535, -0.100886
0.105353, -0.0859692
0.121353, -0.0694455
0.137353, -0.0518216
0.153353, -0.0336045
0.169353, -0.0153014
0.185353, 0.00258083
0.201353, 0.0195352
0.217353, 0.0350546
0.233353, 0.0487153
0.249353, 0.060423
0.265353, 0.0701649
0.281353, 0.0779284
0.291682, 0.0818834
0.297353, 0.0837009
0.313353, 0.0874697
0.329353, 0.0892222
0.345353, 0.0889456
0.361353, 0.0866274
0.377353, 0.0822549
0.393353, 0.0758155
0.409353, 0.0672964
0.425353, 0.056685
0.441353, 0.0439693
0.457353, 0.0294057
0.473353, 0.0139522
0.489353, -0.00132079
0.505353, -0.0153425
0.521353, -0.0270422
0.537353, -0.0353493
0.553353, -0.0391932
0.566435, -0.0382725
0.569353, -0.0375032
0.585353, -0.0292086
0.601353, -0.0132387
0.617353, 0.011477
0.633353, 0.0460093
0.649353, 0.0914288
0.665353, 0.148806
0.681353, 0.219212
0.697353, 0.303717
0.713353, 0.403392
0.729353, 0.519308
0.745353, 0.652534
0.761353, 0.804143
0.777353, 0.975204
0.793353, 1.16679
0.809353, 1.37997
0.825353, 1.61581
0.841353, 1.87539
0.857353, 2.15977
0.873353, 2.47003
0.889353, 2.80724
0.9, 3.04707
