(0.0279183, 0.0320817)
(0.02, 0.0318809)
(0.0279183, 0.0320817)
(0.027399, 0.04)
(0.027399, 0.04)
(0.0329114, 0.0470886)
(0.0329114, 0.0470886)
(0.0326715, 0.06)
(0.0326715, 0.06)
(0.0329091, 0.0670909)
(0.04, 0.0722364)
(0.0329091, 0.0670909)
(0.04, 0.929314)
(0.0287609, 0.94)
(0.0473207, 0.0726793)
(0.04, 0.0722364)
(0.0473207, 0.0726793)
(0.0470541, 0.08)
(0.0470541, 0.08)
(0.0522728, 0.0877272)
(0.0522728, 0.0877272)
(0.0534403, 0.1)
(0.0534403, 0.1)
(0.0539421, 0.106058)
(0.06, 0.111077)
(0.0539421, 0.106058)
(0.0670565, 0.112944)
(0.06, 0.111077)
(0.0670565, 0.112944)
(0.0674646, 0.12)
(0.0674646, 0.12)
(0.071946, 0.128054)
(0.071946, 0.128054)
(0.0757141, 0.14)
(0.0757141, 0.14)
(0.076366, 0.143634)
(0.08, 0.14741)
(0.076366, 0.143634)
(0.08, 0.869834)
(0.0694422, 0.88)
(0.0873548, 0.152645)
(0.08, 0.14741)
(0.0873548, 0.152645)
(0.0890231, 0.16)
(0.0890231, 0.16)
(0.0926909, 0.167309)
(0.0926909, 0.167309)
(0.0989879, 0.18)
(0.0989879, 0.18)
(0.0992124, 0.180788)
(0.1, 0.181766)
(0.0992124, 0.180788)
(0.108398, 0.191602)
(0.1, 0.181766)
(0.108398, 0.191602)
(0.111736, 0.2)
(0.111736, 0.2)
(0.114481, 0.205519)
(0.12, 0.214986)
(0.114481, 0.205519)
(0.12, 0.809921)
(0.109842, 0.82)
(0.12248, 0.21752)
(0.12, 0.214986)
(0.12248, 0.21752)
(0.123449, 0.22)
(0.123449, 0.22)
(0.130177, 0.229823)
(0.130177, 0.229823)
(0.135369, 0.24)
(0.135369, 0.24)
(0.136943, 0.243057)
(0.14, 0.24799)
(0.136943, 0.243057)
(0.14, 0.78394)
(0.125061, 0.8)
(0.125061, 0.8)
(0.12, 0.809921)
(0.145262, 0.254738)
(0.14, 0.24799)
(0.145262, 0.254738)
(0.147848, 0.26)
(0.147848, 0.26)
(0.15254, 0.26746)
(0.15254, 0.26746)
(0.159721, 0.28)
(0.159721, 0.28)
(0.159819, 0.280181)
(0.16, 0.280463)
(0.159819, 0.280181)
(0.16, 0.749563)
(0.149901, 0.76)
(0.149901, 0.76)
(0.147891, 0.772109)
(0.147891, 0.772109)
(0.143691, 0.78)
(0.143691, 0.78)
(0.14, 0.78394)
(0.168018, 0.291982)
(0.16, 0.280463)
(0.168018, 0.291982)
(0.172452, 0.3)
(0.172452, 0.3)
(0.175327, 0.304673)
(0.18, 0.312348)
(0.175327, 0.304673)
(0.18, 0.723122)
(0.165149, 0.74)
(0.165149, 0.74)
(0.16, 0.749563)
(0.183214, 0.316786)
(0.18, 0.312348)
(0.183214, 0.316786)
(0.184956, 0.32)
(0.184956, 0.32)
(0.19095, 0.32905)
(0.19095, 0.32905)
(0.197419, 0.34)
(0.197419, 0.34)
(0.198406, 0.341594)
(0.2, 0.344111)
(0.198406, 0.341594)
(0.2, 0.689016)
(0.189641, 0.7)
(0.189641, 0.7)
(0.186261, 0.713739)
(0.186261, 0.713739)
(0.182742, 0.72)
(0.182742, 0.72)
(0.18, 0.723122)
(0.206463, 0.353537)
(0.2, 0.344111)
(0.206463, 0.353537)
(0.210195, 0.36)
(0.210195, 0.36)
(0.214059, 0.365941)
(0.22, 0.375595)
(0.214059, 0.365941)
(0.22, 0.662863)
(0.20502, 0.68)
(0.20502, 0.68)
(0.2, 0.689016)
(0.221802, 0.378198)
(0.22, 0.375595)
(0.221802, 0.378198)
(0.222821, 0.38)
(0.222821, 0.38)
(0.229694, 0.390306)
(0.229694, 0.390306)
(0.235502, 0.4)
(0.235502, 0.4)
(0.237266, 0.402734)
(0.24, 0.407086)
(0.237266, 0.402734)
(0.24, 0.628489)
(0.22907, 0.64)
(0.22907, 0.64)
(0.225618, 0.654382)
(0.225618, 0.654382)
(0.222455, 0.66)
(0.222455, 0.66)
(0.22, 0.662863)
(0.245188, 0.414812)
(0.24, 0.407086)
(0.245188, 0.414812)
(0.248208, 0.42)
(0.248208, 0.42)
(0.252861, 0.427139)
(0.26, 0.438945)
(0.252861, 0.427139)
(0.26, 0.603868)
(0.244599, 0.62)
(0.244599, 0.62)
(0.24, 0.628489)
(0.260422, 0.439578)
(0.26, 0.438945)
(0.260422, 0.439578)
(0.260658, 0.44)
(0.260658, 0.44)
(0.268251, 0.451749)
(0.268251, 0.451749)
(0.272965, 0.46)
(0.272965, 0.46)
(0.275662, 0.464338)
(0.28, 0.471908)
(0.275662, 0.464338)
(0.28, 0.565216)
(0.267279, 0.58)
(0.267279, 0.58)
(0.267351, 0.592649)
(0.267351, 0.592649)
(0.263574, 0.6)
(0.263574, 0.6)
(0.26, 0.603868)
(0.283094, 0.476906)
(0.28, 0.471908)
(0.283094, 0.476906)
(0.284641, 0.48)
(0.284641, 0.48)
(0.29026, 0.48974)
(0.29026, 0.48974)
(0.294902, 0.5)
(0.294902, 0.5)
(0.296653, 0.503347)
(0.3, 0.512835)
(0.296653, 0.503347)
(0.301999, 0.518001)
(0.3, 0.512835)
(0.301999, 0.518001)
(0.302397, 0.52)
(0.302397, 0.52)
(0.304398, 0.535602)
(0.32, 0.522565)
(0.304398, 0.535602)
(0.34, 0.50461)
(0.323295, 0.52)
(0.323295, 0.52)
