(0.1, 0.1, 0.1)
(0.100707, 0.1, 0.0992929)
(0.101414, 0.1, 0.0985858)
(0.102121, 0.1, 0.0978787)
(0.102828, 0.1, 0.0971716)
(0.103536, 0.1, 0.0964645)
(0.104243, 0.1, 0.0957574)
(0.10495, 0.1, 0.0950503)
(0.105657, 0.1, 0.0943431)
(0.106364, 0.1, 0.093636)
(0.107071, 0.1, 0.0929289)
(0.107778, 0.1, 0.0922218)
(0.108485, 0.1, 0.0915147)
(0.109192, 0.1, 0.0908076)
(0.109899, 0.1, 0.0901005)
(0.110607, 0.1, 0.0893934)
(0.111314, 0.1, 0.0886863)
(0.112021, 0.1, 0.0879792)
(0.112728, 0.1, 0.0872721)
(0.113435, 0.1, 0.086565)
(0.114142, 0.1, 0.0858579)
(0.114849, 0.1, 0.0851508)
(0.115556, 0.1, 0.0844437)
(0.116263, 0.1, 0.0837365)
(0.116971, 0.1, 0.0830294)
(0.117678, 0.1, 0.0823223)
(0.118385, 0.1, 0.0816152)
(0.119092, 0.1, 0.0809081)
(0.119799, 0.1, 0.080201)
(0.120506, 0.1, 0.0794939)
(0.121213, 0.1, 0.0787868)
(0.12192, 0.1, 0.0780797)
(0.122627, 0.1, 0.0773726)
(0.123335, 0.1, 0.0766655)
(0.124042, 0.1, 0.0759584)
(0.124749, 0.1, 0.0752513)
(0.125456, 0.1, 0.0745442)
(0.126163, 0.1, 0.073837)
(0.12687, 0.1, 0.0731299)
(0.127577, 0.1, 0.0724228)
(0.128284, 0.1, 0.0717157)
(0.128991, 0.1, 0.0710086)
(0.129698, 0.1, 0.0703015)
(0.130406, 0.1, 0.0695944)
(0.131113, 0.1, 0.0688873)
(0.13182, 0.1, 0.0681802)
(0.132527, 0.1, 0.0674731)
(0.133234, 0.1, 0.066766)
(0.133941, 0.1, 0.0660589)
(0.134648, 0.1, 0.0653518)
(0.135355, 0.1, 0.0646447)
(0.136062, 0.1, 0.0639376)
(0.13677, 0.1, 0.0632304)
(0.137477, 0.1, 0.0625233)
(0.138184, 0.1, 0.0618162)
(0.138891, 0.1, 0.0611091)
(0.139598, 0.1, 0.060402)
(0.140305, 0.1, 0.0596949)
(0.141012, 0.1, 0.0589878)
(0.141719, 0.1, 0.0582807)
(0.142426, 0.1, 0.0575736)
(0.143134, 0.1, 0.0568665)
(0.143841, 0.1, 0.0561594)
(0.144548, 0.1, 0.0554523)
(0.145255, 0.1, 0.0547452)
(0.145962, 0.1, 0.0540381)
(0.146669, 0.1, 0.053331)
(0.147376, 0.1, 0.0526238)
(0.148083, 0.1, 0.0519167)
(0.14879, 0.1, 0.0512096)
(0.149497, 0.1, 0.0505025)
(0.150205, 0.1, 0.0497954)
(0.150912, 0.1, 0.0490883)
(0.151619, 0.1, 0.0483812)
(0.152326, 0.1, 0.0476741)
(0.153033, 0.1, 0.046967)
