Index: 188, curve = 2, point = 187
Index: 189, curve = 2, point = 188
Index: 190, curve = 2, point = 189
Index: 191, curve = 2, point = 190
Index: 192, curve = 2, point = 191
Index: 193, curve = 2, point = 192
Index: 194, curve = 2, point = 193
Index: 195, curve = 2, point = 194
Index: 196, curve = 2, point = 195
Index: 197, curve = 2, point = 196
Index: 198, curve = 2, point = 197
Index: 199, curve = 2, point = 198
Index: 200, curve = 2, point = 199
Index: 201, curve = 2, point = 200
Index: 202, curve = 2, point = 201
Index: 203, curve = 2, point = 202
Index: 204, curve = 2, point = 203
Index: 205, curve = 2, point = 204
Index: 206, curve = 2, point = 205
Index: 207, curve = 2, point = 206
Index: 208, curve = 2, point = 207
Index: 209, curve = 2, point = 208
Index: 210, curve = 2, point = 209
Index: 211, curve = 2, point = 210
Index: 212, curve = 2, point = 211
Index: 213, curve = 2, point = 212
Index: 214, curve = 2, point = 213
Index: 215, curve = 2, point = 214
Index: 216, curve = 2, point = 215
Index: 217, curve = 2, point = 216
Index: 218, curve = 2, point = 217
Index: 219, curve = 2, point = 218
Index: 220, curve = 2, point = 219
Index: 221, curve = 2, point = 220
Index: 222, curve = 2, point = 221
Index: 223, curve = 2, point = 222
Index: 224, curve = 2, point = 223
Index: 225, curve = 2, point = 224
Index: 226, curve = 2, point = 225
Index: 227, curve = 2, point = 226
Index: 228, curve = 2, point = 227
Index: 229, curve = 2, point = 228
Index: 230, curve = 2, point = 229
Index: 231, curve = 2, point = 230
Index: 232, curve = 2, point = 231
Index: 233, curve = 2, point = 232
Index: 234, curve = 2, point = 233
Index: 235, curve = 2, point = 234
Index: 236, curve = 2, point = 235
Index: 237, curve = 2, point = 236
Index: 238, curve = 2, point = 237
Index: 239, curve = 2, point = 238
Index: 240, curve = 2, point = 239
Index: 241, curve = 2, point = 240
Index: 242, curve = 2, point = 241
Index: 243, curve = 2, point = 242
Index: 244, curve = 2, point = 243
Index: 245, curve = 2, point = 244
Index: 246, curve = 2, point = 245
Index: 247, curve = 2, point = 246
Index: 248, curve = 2, point = 247
Index: 249, curve = 2, point = 248
Index: 250, curve = 2, point = 249
Index: 251, curve = 2, point = 250
Index: 252, curve = 2, point = 251
Index: 253, curve = 2, point = 252
Index: 254, curve = 2, point = 253
Index: 255, curve = 2, point = 254
Index: 256, curve = 2, point = 255
Index: 257, curve = 2, point = 256
Index: 258, curve = 2, point = 257
Index: 259, curve = 2, point = 258
Index: 260, curve = 2, point = 259
Index: 261, curve = 2, point = 260
Index: 262, curve = 2, point = 261
Index: 263, curve = 2, point = 262
Index: 264, curve = 2, point = 263
Index: 265, curve = 2, point = 264
Index: 266, curve = 2, point = 265
Index: 267, curve = 2, point = 266
Index: 268, curve = 2, point = 267
Index: 269, curve = 2, point = 268
Index: 270, curve = 2, point = 269
Index: 271, curve = 2, point = 270
Index: 272, curve = 2, point = 271
Index: 273, curve = 2, point = 272
Index: 274, curve = 2, point = 273
Index: 275, curve = 2, point = 274
Index: 276, curve = 2, point = 275
Index: 277, curve = 2, point = 276
Index: 278, curve = 2, point = 277
Index: 279, curve = 2, point = 278
Index: 280, curve = 2, point = 279
Index: 281, curve = 2, point = 280
Index: 282, curve = 2, point = 281
Index: 283, curve = 2, point = 282
Index: 284, curve = 2, point = 283
Index: 285, curve = 2, point = 284
Index: 286, curve = 2, point = 285
Index: 287, curve = 2, point = 286
Index: 288, curve = 2, point = 287
Index: 289, curve = 2, point = 288
Index: 290, curve = 2, point = 289
Index: 291, curve = 2, point = 290
Index: 292, curve = 2, point = 291
Index: 293, curve = 2, point = 292
Index: 294, curve = 2, point = 293
Index: 295, curve = 2, point = 294
Index: 296, curve = 2, point = 295
Index: 297, curve = 2, point = 296
Index: 298, curve = 2, point = 297
Index: 299, curve = 2, point = 298
Index: 300, curve = 2, point = 299
Index: 301, curve = 2, point = 300
Index: 302, curve = 2, point = 301
Index: 303, curve = 2, point = 302
Index: 304, curve = 2, point = 303
Index: 305, curve = 2, point = 304
Index: 306, curve = 2, point = 305
Index: 307, curve = 2, point = 306
Index: 308, curve = 2, point = 307
Index: 309, curve = 2, point = 308
Index: 310, curve = 2, point = 309
Index: 311, curve = 2, point = 310
Index: 312, curve = 2, point = 311
Index: 313, curve = 2, point = 312
